CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Groupe,Numero,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Pont,Num,Cote,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e
True,30.0,False,0.0,0.0,0.0,0.0,0.0,False,39,1,True,False,False,6,1.0,0,True,False,False
True,17.0,False,0.0,0.0,0.0,0.0,0.0,True,41,1,True,False,False,6,2.0,0,False,False,True
False,45.0,False,0.0,164.0,45.0,2511.0,855.0,False,43,1,False,True,False,1,3.0,0,False,False,True
True,55.0,False,0.0,0.0,0.0,0.0,0.0,False,44,1,True,False,False,6,3.0,0,False,False,True
True,4.0,False,0.0,0.0,0.0,0.0,0.0,True,44,2,True,False,False,6,3.0,0,True,False,False
True,21.0,False,0.0,0.0,0.0,0.0,0.0,True,44,3,True,False,False,6,3.0,0,False,True,False
False,21.0,False,970.0,0.0,180.0,0.0,64.0,False,45,1,False,False,True,5,10.0,0,False,False,True
True,19.0,False,0.0,0.0,0.0,0.0,0.0,True,45,2,False,False,True,5,10.0,0,False,False,False
False,35.0,False,790.0,0.0,0.0,0.0,0.0,False,50,1,True,False,False,4,1.0,1,True,False,False
False,56.0,False,0.0,112.0,0.0,1379.0,127.0,False,51,1,True,False,False,4,2.0,1,False,False,True
False,27.0,False,4.0,0.0,2.0,4683.0,0.0,False,52,1,True,False,False,6,6.0,1,False,False,True
False,25.0,False,0.0,0.0,1938.0,0.0,1.0,True,53,1,True,False,False,5,11.0,1,False,False,True
False,2.0,False,0.0,0.0,0.0,0.0,0.0,True,56,1,False,True,False,0,1.0,1,False,False,True
True,38.0,False,0.0,0.0,0.0,0.0,0.0,True,56,2,False,True,False,0,1.0,1,False,False,True
False,27.0,False,279.0,605.0,3374.0,286.0,3.0,True,56,3,False,True,False,0,1.0,1,False,False,True
True,36.0,False,0.0,0.0,0.0,0.0,0.0,False,58,1,True,False,False,6,7.0,1,False,True,False
False,22.0,False,45.0,1096.0,148.0,1377.0,1.0,False,61,1,True,False,False,5,12.0,1,False,False,True
False,62.0,False,0.0,592.0,0.0,17.0,25.0,False,62,1,True,False,False,5,13.0,1,False,False,True
True,15.0,False,0.0,0.0,0.0,0.0,0.0,True,64,1,False,False,True,5,14.0,1,False,False,True
True,33.0,False,0.0,0.0,0.0,0.0,0.0,True,64,2,False,False,False,4,3.0,1,False,False,True
False,62.0,False,1.0,153.0,197.0,0.0,460.0,False,66,1,True,False,False,6,6.0,0,False,False,True
True,0.0,False,0.0,0.0,0.0,0.0,0.0,True,67,1,True,False,False,6,10.0,1,False,True,False
False,18.0,False,1.0,258.0,446.0,0.0,0.0,True,67,2,True,False,False,6,10.0,1,False,False,True
False,21.0,False,1946.0,37.0,0.0,0.0,24.0,False,67,3,True,False,False,5,15.0,1,True,False,False
False,27.0,False,793.0,0.0,2.0,253.0,0.0,False,68,1,False,False,True,4,4.0,1,False,False,True
False,42.0,False,887.0,0.0,9.0,6.0,0.0,True,69,1,True,False,False,5,16.0,1,False,False,True
False,19.0,False,190.0,0.0,5.0,1.0,726.0,False,70,1,True,False,False,5,13.0,0,False,False,True
False,17.0,False,16.0,2165.0,0.0,0.0,52.0,False,71,1,True,False,False,5,14.0,0,False,False,True
False,14.0,False,0.0,1.0,0.0,0.0,1063.0,False,72,1,True,False,False,5,17.0,1,False,False,True
False,37.0,False,46.0,83.0,738.0,0.0,12.0,False,73,1,False,False,True,3,3.0,0,False,True,False
False,42.0,False,1.0,8397.0,0.0,0.0,506.0,True,74,1,False,True,False,2,3.0,1,False,False,True
False,27.0,False,147.0,0.0,1018.0,0.0,0.0,True,76,1,False,False,True,5,18.0,1,False,False,True
False,28.0,False,14.0,0.0,1295.0,0.0,0.0,True,77,1,False,False,True,5,15.0,0,False,False,True
False,38.0,False,0.0,5840.0,0.0,321.0,9654.0,False,78,1,False,True,False,2,4.0,1,False,False,True
True,13.0,False,0.0,0.0,0.0,0.0,0.0,False,81,1,True,False,False,6,13.0,1,False,False,True
False,42.0,False,7406.0,0.0,0.0,0.0,0.0,False,82,1,False,False,True,5,16.0,0,False,False,True
True,2.0,False,0.0,0.0,0.0,0.0,0.0,True,82,2,False,False,True,5,16.0,0,False,False,True
False,8.0,False,0.0,0.0,0.0,0.0,0.0,True,82,3,False,False,True,5,16.0,0,False,False,True
False,24.0,False,688.0,0.0,0.0,0.0,17.0,True,84,1,True,False,False,6,14.0,1,False,False,True
True,40.0,False,0.0,0.0,0.0,0.0,0.0,True,85,1,False,True,False,2,5.0,1,False,False,True
False,43.0,False,211.0,0.0,0.0,638.0,513.0,False,86,1,True,False,False,5,17.0,0,False,False,True
True,45.0,False,0.0,0.0,0.0,0.0,0.0,True,88,1,False,False,True,4,5.0,1,False,True,False
True,35.0,False,0.0,0.0,0.0,0.0,0.0,True,90,1,True,False,False,6,15.0,1,False,False,True
True,26.0,False,0.0,0.0,0.0,0.0,0.0,True,91,1,True,False,False,6,16.0,1,False,False,True
False,27.0,False,1.0,697.0,31.0,188.0,0.0,False,91,2,True,False,False,5,20.0,1,False,False,True
False,19.0,False,0.0,0.0,670.0,1.0,34.0,False,92,1,True,False,False,6,9.0,0,False,False,True
True,0.0,False,0.0,0.0,0.0,0.0,0.0,True,92,2,True,False,False,6,9.0,0,False,False,True
True,3.0,False,0.0,0.0,0.0,0.0,0.0,True,92,3,True,False,False,6,9.0,0,False,False,True
False,54.0,False,0.0,1208.0,0.0,3.0,637.0,False,97,1,False,True,False,0,2.0,1,False,False,True
False,26.0,False,0.0,856.0,5.0,32.0,0.0,False,98,1,True,False,False,6,11.0,0,False,False,True
False,26.0,False,0.0,2811.0,957.0,0.0,87.0,True,98,2,True,False,False,6,11.0,0,False,False,True
False,23.0,False,311.0,427.0,526.0,37.0,0.0,False,99,1,True,False,False,5,19.0,0,False,True,False
,2.0,False,0.0,0.0,0.0,0.0,0.0,True,99,2,True,False,False,6,12.0,0,False,False,True
True,31.0,False,0.0,0.0,0.0,0.0,0.0,True,101,1,False,False,True,8,,2,False,False,True
False,18.0,False,0.0,0.0,0.0,830.0,91.0,False,102,1,True,False,False,5,23.0,1,False,False,True
False,24.0,False,0.0,0.0,0.0,0.0,17.0,True,103,1,True,False,False,5,24.0,1,False,False,True
True,9.0,False,0.0,0.0,0.0,0.0,0.0,True,103,2,True,False,False,6,18.0,1,True,False,False
True,6.0,False,0.0,0.0,0.0,0.0,0.0,False,103,3,True,False,False,6,18.0,1,False,False,True
,27.0,False,0.0,0.0,570.0,2.0,131.0,False,105,1,True,False,False,5,21.0,0,False,False,True
False,21.0,False,1743.0,5.0,17.0,0.0,0.0,False,107,1,False,False,True,3,2.0,1,False,False,True
True,23.0,False,0.0,0.0,0.0,0.0,0.0,False,108,1,True,False,False,6,19.0,1,False,False,True
False,31.0,False,562.0,0.0,326.0,0.0,0.0,False,108,2,True,False,False,6,19.0,1,False,False,True
False,0.0,,0.0,0.0,0.0,0.0,0.0,True,108,3,True,False,False,6,19.0,1,False,False,True
False,32.0,False,0.0,410.0,6.0,3929.0,764.0,False,110,1,False,True,False,8,,2,False,False,True
,40.0,False,0.0,331.0,0.0,0.0,1687.0,False,110,2,False,True,False,1,5.0,0,False,False,True
False,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,True,110,3,False,True,False,1,5.0,0,False,False,True
True,28.0,False,0.0,0.0,0.0,0.0,0.0,True,110,4,False,True,False,1,5.0,0,False,False,True
True,29.0,False,0.0,0.0,0.0,0.0,0.0,True,111,1,False,True,False,4,6.0,1,False,False,True
False,48.0,True,0.0,2537.0,87.0,17.0,13.0,True,112,1,False,True,False,1,1.0,1,True,False,False
False,64.0,False,0.0,0.0,804.0,0.0,0.0,True,113,1,True,False,False,5,23.0,0,False,False,True
False,27.0,False,82.0,157.0,429.0,238.0,1.0,False,114,1,True,False,False,6,20.0,1,False,False,True
,26.0,False,0.0,0.0,0.0,0.0,0.0,True,115,1,False,False,True,5,24.0,0,False,False,True
False,33.0,False,1.0,2223.0,0.0,12.0,404.0,True,116,1,False,True,False,3,4.0,0,False,False,True
False,39.0,False,0.0,2344.0,0.0,65.0,6898.0,False,119,1,False,False,False,0,0.0,0,False,False,True
True,13.0,False,0.0,0.0,0.0,0.0,0.0,True,119,2,False,True,False,0,0.0,0,False,False,True
True,24.0,False,0.0,0.0,0.0,0.0,0.0,True,120,1,False,False,True,5,25.0,0,False,False,True
False,29.0,False,0.0,0.0,0.0,699.0,74.0,False,122,1,True,False,False,6,21.0,1,False,False,True
False,18.0,False,55.0,597.0,49.0,0.0,1.0,False,123,1,True,False,False,5,27.0,0,False,False,True
True,67.0,False,0.0,0.0,0.0,0.0,0.0,True,126,1,False,False,True,5,27.0,1,False,False,True
False,35.0,False,701.0,0.0,296.0,0.0,25.0,False,127,1,False,False,True,4,7.0,1,False,False,True
False,61.0,True,2353.0,334.0,9.0,316.0,2.0,False,128,1,False,False,True,3,3.0,1,False,False,True
False,45.0,False,2103.0,6.0,0.0,0.0,0.0,False,128,2,False,False,True,4,8.0,1,False,False,True
True,22.0,False,0.0,0.0,0.0,0.0,0.0,True,129,1,True,False,False,6,22.0,1,False,True,False
True,19.0,False,0.0,0.0,0.0,0.0,0.0,True,133,1,False,False,True,5,29.0,1,False,False,True
False,36.0,False,2738.0,0.0,0.0,0.0,0.0,False,133,2,False,False,True,3,5.0,1,False,False,True
False,19.0,False,0.0,14.0,730.0,0.0,0.0,True,134,1,True,False,False,6,17.0,0,False,False,True
False,47.0,False,97.0,418.0,126.0,25.0,55.0,False,136,1,True,False,False,6,23.0,1,False,True,False
True,13.0,False,0.0,0.0,0.0,0.0,0.0,True,138,1,True,False,False,6,18.0,0,False,False,True
False,34.0,False,0.0,22.0,0.0,564.0,207.0,False,138,2,True,False,False,4,5.0,0,False,False,False
True,35.0,False,0.0,0.0,0.0,0.0,0.0,True,139,1,False,True,False,2,6.0,1,True,False,False
True,24.0,False,0.0,0.0,0.0,0.0,0.0,True,140,1,True,False,False,6,19.0,0,False,False,True
False,26.0,False,440.0,0.0,0.0,0.0,462.0,False,140,2,True,False,False,5,29.0,0,False,False,True
False,31.0,False,0.0,0.0,97.0,0.0,0.0,False,141,1,False,False,True,5,30.0,0,False,False,True
False,20.0,False,0.0,420.0,210.0,0.0,0.0,True,144,1,True,False,False,5,31.0,1,False,False,True
False,56.0,False,0.0,0.0,0.0,0.0,0.0,False,146,1,True,False,False,6,25.0,1,False,False,True
True,50.0,False,0.0,0.0,0.0,0.0,0.0,True,147,1,True,False,False,6,26.0,1,False,False,True
False,42.0,False,1072.0,0.0,10.0,0.0,76.0,False,148,1,False,False,True,5,31.0,0,False,False,True
True,27.0,False,0.0,0.0,0.0,0.0,0.0,True,149,1,True,False,False,6,27.0,1,True,False,False
True,38.0,False,0.0,0.0,0.0,0.0,0.0,False,151,1,True,False,False,6,20.0,0,True,False,False
False,41.0,False,0.0,0.0,0.0,0.0,607.0,False,152,1,True,False,False,5,32.0,0,False,False,False
False,22.0,False,4119.0,0.0,0.0,0.0,61.0,False,160,1,True,False,False,6,22.0,0,False,False,True
True,26.0,False,0.0,0.0,0.0,0.0,0.0,True,163,1,False,True,False,1,8.0,0,False,False,True
True,17.0,False,0.0,0.0,0.0,0.0,0.0,True,163,2,False,True,False,1,8.0,0,False,False,True
False,57.0,False,50.0,1688.0,0.0,0.0,135.0,True,164,1,True,False,False,6,28.0,1,False,False,True
True,17.0,False,0.0,0.0,0.0,0.0,0.0,False,164,2,True,False,False,6,28.0,1,False,True,False
True,35.0,,0.0,0.0,0.0,0.0,0.0,True,165,1,False,False,True,5,37.0,0,False,False,True
True,13.0,False,0.0,0.0,0.0,0.0,0.0,True,167,1,False,False,True,5,35.0,1,False,False,True
False,27.0,False,1365.0,0.0,48.0,22.0,137.0,False,167,2,False,False,True,5,35.0,1,False,False,True
True,31.0,False,0.0,0.0,0.0,0.0,0.0,False,169,1,True,False,False,6,23.0,0,False,False,True
False,24.0,False,0.0,0.0,0.0,221.0,567.0,False,170,1,True,False,False,4,10.0,1,False,False,True
True,19.0,False,0.0,0.0,0.0,0.0,0.0,True,171,1,True,False,False,6,30.0,1,False,True,False
True,32.0,False,0.0,0.0,0.0,0.0,0.0,True,172,1,True,False,False,6,24.0,0,False,False,True
,58.0,False,0.0,985.0,0.0,5.0,0.0,True,173,1,True,False,False,4,11.0,1,False,False,True
False,21.0,False,287.0,0.0,16.0,115.0,175.0,False,174,1,True,False,False,5,38.0,0,True,False,False
False,38.0,False,0.0,10346.0,1.0,14970.0,2111.0,False,177,1,False,True,False,1,2.0,1,False,False,True
False,38.0,False,3414.0,0.0,161.0,28.0,119.0,False,178,1,False,False,True,3,6.0,1,False,False,True
False,19.0,False,1.0,219.0,673.0,2.0,11.0,True,179,1,True,False,False,6,26.0,0,False,False,True
False,0.0,False,0.0,0.0,0.0,0.0,0.0,False,179,2,True,False,False,6,26.0,0,False,False,True
False,3.0,False,0.0,0.0,0.0,0.0,0.0,True,179,3,True,False,False,6,26.0,0,False,False,True
False,20.0,False,0.0,0.0,3.0,299.0,92.0,False,181,1,True,False,False,6,27.0,0,False,False,True
True,24.0,False,0.0,0.0,0.0,0.0,0.0,True,182,1,False,True,False,2,3.0,0,False,False,True
False,37.0,False,17.0,146.0,426.0,0.0,232.0,True,183,1,True,False,False,5,36.0,1,False,False,True
False,25.0,False,62.0,0.0,0.0,0.0,956.0,False,186,1,True,False,False,6,28.0,0,False,False,True
True,56.0,False,0.0,0.0,0.0,0.0,0.0,True,188,1,True,False,False,6,31.0,1,False,False,True
False,49.0,False,84.0,3.0,401.0,202.0,98.0,False,189,1,True,False,False,4,8.0,0,True,False,False
True,11.0,False,0.0,0.0,0.0,0.0,0.0,False,190,1,True,False,False,6,32.0,1,True,False,False
True,1.0,False,0.0,0.0,0.0,0.0,0.0,True,192,1,True,False,False,6,29.0,0,False,False,True
False,8.0,False,0.0,0.0,0.0,0.0,0.0,False,192,2,True,False,False,6,29.0,0,False,False,True
False,39.0,False,0.0,0.0,10.0,898.0,0.0,False,192,3,True,False,False,6,29.0,0,False,False,True
True,2.0,False,0.0,0.0,0.0,0.0,0.0,True,193,1,False,False,True,5,41.0,0,False,False,True
False,23.0,False,0.0,0.0,8.0,1072.0,0.0,False,193,2,False,False,True,5,41.0,0,False,False,True
False,0.0,False,0.0,0.0,0.0,0.0,0.0,True,193,3,False,False,True,5,41.0,0,False,False,True
False,39.0,False,406.0,0.0,867.0,0.0,0.0,True,195,1,False,False,True,5,42.0,0,False,False,True
False,25.0,False,1052.0,0.0,719.0,0.0,7.0,False,196,1,False,False,True,3,5.0,0,False,True,False
False,36.0,False,0.0,972.0,0.0,795.0,575.0,False,197,1,False,True,False,2,5.0,0,False,False,True
,52.0,False,0.0,0.0,0.0,0.0,0.0,True,198,1,True,False,False,6,30.0,0,False,True,False
True,18.0,False,0.0,0.0,0.0,0.0,0.0,False,199,1,True,False,False,6,33.0,1,False,False,True
True,15.0,False,0.0,0.0,0.0,0.0,0.0,True,200,1,True,False,False,6,31.0,0,False,False,True
True,35.0,False,0.0,0.0,0.0,0.0,0.0,True,201,1,False,True,False,1,3.0,1,False,False,True
True,47.0,False,0.0,0.0,0.0,0.0,0.0,True,201,2,False,True,False,1,3.0,1,False,False,True
True,45.0,False,0.0,0.0,0.0,0.0,0.0,True,202,1,False,True,False,1,9.0,0,True,False,False
False,27.0,False,0.0,2433.0,0.0,878.0,443.0,True,202,2,False,True,False,0,2.0,0,True,False,False
True,51.0,False,0.0,0.0,0.0,0.0,0.0,True,203,1,False,True,False,2,8.0,1,False,False,True
False,29.0,False,0.0,2.0,66.0,0.0,705.0,False,205,1,True,False,False,6,34.0,1,False,False,True
False,27.0,False,2.0,1720.0,12.0,1125.0,122.0,True,206,1,False,True,False,2,9.0,1,True,False,False
True,19.0,False,0.0,0.0,0.0,0.0,0.0,False,207,1,True,False,False,6,32.0,0,False,True,False
True,24.0,False,0.0,0.0,0.0,0.0,0.0,True,210,1,False,False,False,3,6.0,0,True,False,False
False,29.0,False,902.0,1.0,137.0,0.0,0.0,True,211,1,False,False,True,5,44.0,0,False,False,True
True,11.0,False,0.0,0.0,0.0,0.0,0.0,True,211,2,False,False,True,5,44.0,0,False,False,True
False,17.0,False,848.0,0.0,307.0,182.0,0.0,False,211,3,False,False,True,5,44.0,0,False,False,True
False,13.0,False,192.0,0.0,0.0,51.0,739.0,False,212,1,True,False,False,4,9.0,0,False,False,True
False,35.0,False,147.0,188.0,0.0,10.0,387.0,False,212,2,True,False,False,5,45.0,0,False,False,True
False,21.0,False,367.0,281.0,0.0,0.0,146.0,False,213,1,True,False,False,5,46.0,0,False,False,True
False,21.0,False,0.0,56.0,0.0,0.0,1918.0,False,216,1,True,False,False,5,40.0,1,True,False,False
False,38.0,False,1517.0,0.0,0.0,27.0,0.0,False,217,1,True,False,False,5,47.0,0,False,False,True
True,19.0,False,0.0,0.0,0.0,0.0,0.0,True,219,1,True,False,False,6,36.0,0,False,False,True
True,2.0,False,0.0,0.0,0.0,0.0,0.0,True,220,1,True,False,False,6,37.0,0,False,False,True
False,0.0,False,0.0,0.0,0.0,0.0,0.0,True,220,2,True,False,False,6,37.0,0,False,False,True
True,13.0,False,0.0,0.0,0.0,0.0,0.0,False,220,3,True,False,False,6,37.0,0,False,False,True
False,25.0,False,122.0,84.0,0.0,0.0,0.0,False,220,4,True,False,False,4,10.0,0,False,False,True
False,16.0,False,0.0,3.0,0.0,0.0,1099.0,False,220,5,True,False,False,5,48.0,0,False,False,True
False,1.0,False,0.0,0.0,0.0,0.0,0.0,False,220,6,True,False,False,6,37.0,0,True,False,False
True,15.0,False,0.0,0.0,0.0,0.0,0.0,True,220,7,True,False,False,6,37.0,0,False,False,True
False,21.0,False,2237.0,0.0,119.0,0.0,0.0,False,221,1,False,False,True,4,13.0,1,True,False,False
False,23.0,False,1215.0,80.0,1.0,2.0,0.0,False,221,2,False,False,True,4,13.0,1,False,False,True
False,33.0,False,1933.0,12.0,188.0,1.0,0.0,False,221,3,False,False,True,4,13.0,1,False,False,True
True,21.0,False,0.0,0.0,0.0,0.0,0.0,True,221,4,False,False,True,4,13.0,1,False,False,True
False,41.0,False,1230.0,0.0,301.0,43.0,1023.0,False,221,5,False,False,True,4,13.0,1,False,False,True
False,16.0,False,915.0,0.0,221.0,234.0,0.0,False,221,6,False,False,True,4,13.0,1,False,False,True
True,42.0,False,0.0,0.0,0.0,0.0,0.0,False,221,7,False,False,True,4,13.0,1,False,False,True
False,20.0,False,1406.0,0.0,0.0,11.0,0.0,False,222,1,False,False,True,5,41.0,1,False,False,True
True,24.0,False,0.0,0.0,0.0,0.0,0.0,True,222,2,False,False,True,5,41.0,1,False,False,True
True,16.0,False,0.0,0.0,0.0,0.0,0.0,True,222,3,False,False,True,4,14.0,1,False,False,True
False,21.0,False,0.0,2.0,665.0,0.0,9.0,False,223,1,True,False,False,6,35.0,1,False,False,True
False,32.0,True,181.0,0.0,5.0,1634.0,0.0,False,224,1,False,False,True,5,42.0,1,False,False,True
True,58.0,False,0.0,0.0,0.0,0.0,0.0,True,225,1,True,False,False,6,38.0,0,False,True,False
False,24.0,False,4.0,7.0,0.0,713.0,79.0,False,229,1,True,False,False,5,43.0,1,False,False,True
False,30.0,False,85.0,0.0,1.0,1720.0,0.0,False,231,1,False,False,True,5,44.0,1,False,False,True
True,27.0,False,0.0,0.0,0.0,0.0,0.0,False,232,1,True,False,False,6,36.0,1,False,True,False
False,32.0,False,56.0,0.0,256.0,1438.0,0.0,False,233,1,False,False,True,5,45.0,1,False,False,True
False,43.0,False,0.0,888.0,0.0,0.0,0.0,False,234,1,True,False,False,5,50.0,0,False,False,True
True,42.0,False,0.0,0.0,0.0,0.0,0.0,True,237,1,False,True,False,1,11.0,0,False,False,True
False,37.0,False,637.0,0.0,0.0,92.0,319.0,False,239,1,False,False,True,8,,2,False,False,True
True,35.0,False,0.0,0.0,0.0,0.0,0.0,True,240,1,False,False,True,5,52.0,0,False,False,True
,33.0,False,0.0,1249.0,0.0,4812.0,1116.0,False,241,1,False,True,False,4,11.0,0,True,False,False
False,18.0,False,313.0,1.0,691.0,283.0,0.0,False,242,1,False,False,False,5,46.0,1,False,False,True
True,21.0,False,0.0,0.0,0.0,0.0,0.0,False,243,1,True,False,False,6,37.0,1,False,False,True
True,43.0,False,0.0,0.0,0.0,0.0,0.0,True,244,1,False,False,True,8,,2,False,False,True
True,14.0,,0.0,0.0,0.0,0.0,0.0,True,244,2,False,False,True,5,47.0,1,True,False,False
False,46.0,False,0.0,3571.0,0.0,0.0,7.0,True,245,1,False,True,False,2,6.0,0,True,False,False
False,33.0,False,0.0,86.0,796.0,584.0,10912.0,False,245,2,False,True,False,2,6.0,0,False,False,True
False,21.0,False,2947.0,0.0,287.0,27.0,0.0,False,246,1,False,False,True,3,8.0,0,False,False,True
False,33.0,False,0.0,1.0,0.0,8620.0,1063.0,False,248,1,False,True,False,2,10.0,1,False,False,True
True,47.0,False,0.0,0.0,0.0,0.0,0.0,False,250,1,True,False,False,6,38.0,1,False,True,False
True,54.0,False,0.0,0.0,0.0,0.0,0.0,True,251,1,False,False,False,2,11.0,1,True,False,False
False,30.0,False,335.0,695.0,541.0,0.0,0.0,False,252,1,True,False,False,5,53.0,0,False,False,True
False,29.0,False,272.0,615.0,0.0,0.0,1.0,False,253,1,True,False,False,6,42.0,0,False,False,True
False,21.0,False,702.0,172.0,408.0,2.0,6.0,True,254,1,True,False,False,5,54.0,0,False,False,True
True,24.0,False,0.0,0.0,0.0,0.0,0.0,True,255,1,False,True,False,0,3.0,1,False,False,True
False,21.0,False,1664.0,0.0,0.0,0.0,0.0,False,257,1,False,False,True,5,49.0,1,True,False,False
True,60.0,False,0.0,0.0,0.0,0.0,0.0,True,257,2,False,False,True,5,49.0,1,False,False,True
False,22.0,False,0.0,0.0,313.0,299.0,92.0,False,258,1,True,False,False,5,50.0,1,False,False,True
False,26.0,False,0.0,4810.0,0.0,981.0,2054.0,False,260,1,False,True,False,4,16.0,1,False,False,True
False,26.0,False,66.0,29.0,0.0,0.0,803.0,False,261,1,True,False,False,5,56.0,0,False,False,True
True,28.0,False,0.0,0.0,0.0,0.0,0.0,True,263,1,True,False,False,6,43.0,0,False,False,True
True,39.0,False,0.0,0.0,0.0,0.0,0.0,True,265,1,False,True,False,3,8.0,1,False,False,True
False,13.0,False,118.0,0.0,0.0,754.0,1.0,False,267,1,True,False,False,5,51.0,1,False,False,True
False,47.0,False,0.0,231.0,592.0,0.0,0.0,True,269,1,True,False,False,5,52.0,1,True,False,False
False,63.0,False,0.0,25.0,128.0,0.0,1240.0,False,270,1,True,False,False,5,59.0,0,False,False,True
True,27.0,False,0.0,0.0,0.0,0.0,0.0,True,275,1,False,True,False,3,9.0,1,True,False,False
False,50.0,False,44.0,2390.0,0.0,53.0,0.0,True,277,1,True,False,False,5,61.0,0,True,False,False
False,35.0,False,0.0,0.0,0.0,888.0,0.0,False,278,1,True,False,False,8,,2,False,False,True
